PatternConfig Name,Benchmark,Profiler,MemCellType,Cache Level,Design Target,Capacity,Word Width (bits),Optimization Target,Total Reads,Total Writes,Total Read Latency (ms),Total Write Latency (ms),Total Latency (ms),Total Read Energy (mJ),Total Write Energy (mJ),Total Energy (mJ),Total Dynamic Read Power (mW),Total Dynamic Write Power (mW),Total Power (mW),Read Bandwidth Usage (%),Write Bandwidth Usage (%),Cache Hit Latency (ns),Cache Miss Latency (ns),Cache Write Latency (ns),Cache Hit Energy (nJ),Cache Miss Energy (nJ),Cache Write Energy (nJ),Leakage Power (mW),Total Area (mm^2)
memsyspatternconfig_test_sniper,core_0,sniper,Single-Level Cell FeFET,l2,cache,128KB,128,WriteEDP,1218,624,0.0212789258172261,0.8452199045422287,0.8664988303594549,9.235993025033634e-06,3.122948160261688e-06,1.2358941185295322e-05,710.461001925664,240.22678155859137,953.5153368799506,5867.071482247509,6436066.541445559,17.470382444356463,16.80358243148742,1354.5190777920334,0.0075829170977287,0.0075829170977287,0.0050047246158039,2.82755339569514,0.0375728241437929
memsyspatternconfig_test_sniper,core_0,sniper,Single-Level Cell FeFET,l2,cache,1MB,128,WriteEDP,1218,624,0.0379199124114299,0.8525355339587771,0.890455446370207,1.7847981866869558e-05,6.354911824592489e-06,2.4202893691462047e-05,1372.921682066889,488.83937112249913,1870.3951190629975,13948.99620932654,6441167.236688767,31.132933014310304,29.57268060824176,1366.242842882656,0.0146535154900406,0.0146535154900406,0.010184153565052,8.634065873609575,0.1862138316521959
